symbol_name,symbol_id,prefix,pdf_page,reference_number,match_count,match_status,matched_assets
SY(BUISGL01),BUISGL01,SY,74,72,1,matched_standard_source_table_asset,BUISGL01
SY(BUISGL11),BUISGL11,SY,75,73,1,matched_standard_source_table_asset,BUISGL11
SY(CAIRNS01),CAIRNS01,SY,76,74,1,matched_standard_source_table_asset,CAIRNS01
SY(CAIRNS11),CAIRNS11,SY,77,75,1,matched_standard_source_table_asset,CAIRNS11
SY(CBLARE51),CBLARE51,SY,78,76,1,matched_standard_source_table_asset,CBLARE51
SY(CGUSTA02),CGUSTA02,SY,79,77,1,matched_standard_source_table_asset,CGUSTA02
SY(CHCRDEL1),CHCRDEL1,SY,80,78,1,matched_standard_source_table_asset,CHCRDEL1
SY(CHCRID01),CHCRID01,SY,81,79,1,matched_standard_source_table_asset,CHCRID01
SY(CHDATD01),CHDATD01,SY,82,591,0,not_in_standard_source_table,
SY(CHIMNY01),CHIMNY01,SY,83,80,1,matched_standard_source_table_asset,CHIMNY01
SY(CHIMNY11),CHIMNY11,SY,84,81,1,matched_standard_source_table_asset,CHIMNY11
SY(CHINFO06),CHINFO06,SY,85,82,1,matched_standard_source_table_asset,CHINFO06
SY(CHINFO07),CHINFO07,SY,86,83,1,matched_standard_source_table_asset,CHINFO07
SY(CHINFO08),CHINFO08,SY,87,84,1,matched_standard_source_table_asset,CHINFO08
SY(CHINFO09),CHINFO09,SY,88,85,1,matched_standard_source_table_asset,CHINFO09
SY(CHINFO10),CHINFO10,SY,89,86,1,matched_standard_source_table_asset,CHINFO10
SY(CHINFO11),CHINFO11,SY,90,87,1,matched_standard_source_table_asset,CHINFO11
SY(CHKPNT01),CHKPNT01,SY,91,591,0,not_in_standard_source_table,
SY(CHKSYM01),CHKSYM01,SY,92,88,1,matched_standard_source_table_asset,CHKSYM01
SY(CHRVDEL1),CHRVDEL1,SY,93,592,0,not_in_standard_source_table,
SY(CHRVID01),CHRVID01,SY,94,593,0,not_in_standard_source_table,
SY(CRANES01),CRANES01,SY,95,90,1,matched_standard_source_table_asset,CRANES01
